date_of_interest,case_count,probable_case_count,hospitalized_count,death_count,case_count_7day_avg,all_case_count_7day_avg,hosp_count_7day_avg,death_count_7day_avg
2020-02-29,1,0,1,0,0,0,0,0
2020-03-01,0,0,1,0,0,0,0,0
2020-03-02,0,0,2,0,0,0,0,0
2020-03-03,1,0,7,0,0,0,0,0
2020-03-04,5,0,2,0,0,0,0,0
2020-03-05,3,0,14,0,0,0,0,0
2020-03-06,8,0,8,0,3,3,5,0
2020-03-07,7,0,8,0,3,3,6,0
2020-03-08,21,0,18,0,6,6,8,0
2020-03-09,57,0,37,0,15,15,13,0
2020-03-10,69,0,60,0,24,24,21,0
2020-03-11,155,0,78,1,46,46,32,0
2020-03-12,355,0,106,0,96,96,45,0
2020-03-13,619,0,152,0,183,183,66,0
2020-03-14,642,1,177,3,274,274,90,1
2020-03-15,1034,0,210,4,419,419,117,1
2020-03-16,2121,2,338,9,714,714,160,2
2020-03-17,2451,4,385,12,1054,1055,207,4
2020-03-18,2971,5,494,24,1456,1458,266,7
2020-03-19,3706,4,631,27,1935,1937,341,11
2020-03-20,4007,3,738,49,2419,2422,425,18
2020-03-21,2639,7,734,51,2704,2708,504,25
2020-03-22,2580,4,773,52,2925,2929,585,32
2020-03-23,3570,15,1131,96,3132,3138,698,44
2020-03-24,4497,12,1301,107,3424,3431,829,58
2020-03-25,4873,18,1434,143,3696,3705,963,75
2020-03-26,5044,44,1535,229,3887,3902,1092,104
2020-03-27,5119,46,1585,262,4046,4067,1213,134
2020-03-28,3478,51,1394,323,4166,4193,1308,173
2020-03-29,3560,66,1509,356,4306,4342,1413,217
2020-03-30,6129,92,1858,414,4671,4718,1517,262
2020-03-31,5458,89,1816,476,4809,4867,1590,315
2020-04-01,5448,109,1768,556,4891,4962,1638,374
2020-04-02,5746,179,1684,676,4991,5081,1659,438
2020-04-03,5670,179,1712,676,5070,5179,1677,497
2020-04-04,3866,203,1460,715,5125,5256,1687,553
2020-04-05,3782,181,1406,759,5157,5304,1672,610
2020-04-06,6353,240,1750,816,5189,5358,1657,668
2020-04-07,6044,234,1590,832,5273,5462,1624,719
2020-04-08,5574,214,1559,782,5291,5495,1594,751
2020-04-09,5070,208,1353,767,5194,5403,1547,764
2020-04-10,4510,205,1293,742,5028,5241,1487,773
2020-04-11,3732,186,1048,730,5009,5219,1428,775
2020-04-12,2887,180,951,754,4881,5091,1363,775
2020-04-13,3311,199,1156,768,4447,4651,1279,768
2020-04-14,4144,155,984,661,4175,4368,1192,743
2020-04-15,3876,122,866,578,3933,4112,1093,714
2020-04-16,3530,143,782,555,3713,3883,1011,684
2020-04-17,3586,105,790,489,3581,3737,940,648
2020-04-18,2172,123,584,513,3358,3505,873,617
2020-04-19,2342,96,536,494,3280,3415,814,580
2020-04-20,3792,101,641,465,3349,3470,740,536
2020-04-21,3061,103,587,426,3194,3307,684,503
2020-04-22,3446,88,519,399,3133,3241,634,477
2020-04-23,2841,85,448,415,3034,3134,586,457
2020-04-24,2535,66,474,380,2884,2979,541,442
2020-04-25,1595,60,327,325,2802,2887,505,415
2020-04-26,1003,55,307,300,2610,2690,472,387
2020-04-27,2290,52,370,322,2396,2469,433,367
2020-04-28,2726,38,356,267,2348,2411,400,344
2020-04-29,2339,37,313,274,2190,2246,371,326
2020-04-30,2021,30,254,253,2073,2121,343,303
2020-05-01,1886,47,263,256,1980,2026,313,285
2020-05-02,1058,35,208,224,1903,1945,296,271
2020-05-03,787,33,216,210,1872,1911,283,258
