price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,total_rooms,price_per_sqft,furnishingstatus_semi-furnished,furnishingstatus_unfurnished
13300000,7420,4,2,3,1,0,0,0,1,2,1,6,1792.4528301886792,False,False
12250000,8960,4,4,4,1,0,0,0,1,3,0,8,1367.1875,False,False
12250000,9960,3,2,2,1,0,1,0,0,2,1,5,1229.9196787148594,True,False
12215000,7500,4,2,2,1,0,1,0,1,3,1,6,1628.6666666666667,False,False
11410000,7420,4,1,2,1,1,1,0,1,2,0,5,1537.7358490566037,False,False
10850000,7500,3,3,1,1,0,1,0,1,2,1,6,1446.6666666666667,True,False
10150000,8580,4,3,4,1,0,0,0,1,2,1,7,1182.983682983683,True,False
10150000,16200,5,3,2,1,0,0,0,0,0,0,8,626.5432098765432,False,True
9870000,8100,4,1,2,1,1,1,0,1,2,1,5,1218.5185185185185,False,False
9800000,5750,3,2,4,1,1,0,0,1,1,1,5,1704.3478260869565,False,True
9800000,13200,3,1,2,1,0,1,0,1,2,1,4,742.4242424242424,False,False
9681000,6000,4,3,2,1,1,1,1,0,2,0,7,1613.5,True,False
9310000,6550,4,2,2,1,0,0,0,1,1,1,6,1421.3740458015268,True,False
9240000,3500,4,2,2,1,0,0,1,0,2,0,6,2640.0,False,False
9240000,7800,3,2,2,1,0,0,0,0,0,1,5,1184.6153846153845,True,False
9100000,6000,4,1,2,1,0,1,0,0,2,0,5,1516.6666666666667,True,False
9100000,6600,4,2,2,1,1,1,0,1,1,1,6,1378.7878787878788,False,True
8960000,8500,3,2,4,1,0,0,0,1,2,0,5,1054.1176470588234,False,False
8890000,4600,3,2,2,1,1,0,0,1,2,0,5,1932.608695652174,False,False
8855000,6420,3,2,2,1,0,0,0,1,1,1,5,1379.2834890965732,True,False
8750000,4320,3,1,2,1,0,1,1,0,2,0,4,2025.462962962963,True,False
8680000,7155,3,2,1,1,1,1,0,1,2,0,5,1213.1376659678547,False,True
8645000,8050,3,1,1,1,1,1,0,1,1,0,4,1073.9130434782608,False,False
8645000,4560,3,2,2,1,1,1,0,1,1,0,5,1895.8333333333333,False,False
8575000,8800,3,2,2,1,0,0,0,1,2,0,5,974.4318181818181,False,False
8540000,6540,4,2,2,1,1,1,0,1,2,1,6,1305.8103975535169,False,False
8463000,6000,3,2,4,1,1,1,0,1,0,1,5,1410.5,True,False
8400000,8875,3,1,1,1,0,0,0,0,1,0,4,946.4788732394367,True,False
8400000,7950,5,2,2,1,0,1,1,0,2,0,7,1056.6037735849056,False,True
8400000,5500,4,2,2,1,0,1,0,1,1,1,6,1527.2727272727273,True,False
8400000,7475,3,2,4,1,0,0,0,1,2,0,5,1123.7458193979933,False,True
8400000,7000,3,1,4,1,0,0,0,1,2,0,4,1200.0,True,False
8295000,4880,4,2,2,1,0,0,0,1,1,1,6,1699.795081967213,False,False
8190000,5960,3,3,2,1,1,1,0,0,1,0,6,1374.1610738255033,False,True
8120000,6840,5,1,2,1,1,1,0,1,1,0,6,1187.1345029239767,False,False
